Age,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,,,
30,107.303,104.042,100.351,107.134,105.572,108.007,105.251,105.251,105.382,104.517,104.360,104.010,111.400,113.125,115.461,118.972,120.443,124.470,132.365,145.173,144.114,144.250,142.273,152.019,,,
31,104.435,101.255,97.741,104.224,102.758,105.112,102.446,102.446,102.561,101.764,101.594,101.241,108.350,110.009,112.237,115.630,117.121,121.119,128.669,140.741,139.719,139.861,138.011,147.280,,,
32,101.608,,95.166,101.356,99.984,102.259,99.682,99.682,99.781,99.050,98.867,98.511,105.346,106.939,109.063,112.340,113.849,117.816,125.028,136.382,135.398,135.545,133.818,142.622,,,
33,98.822,95.801,92.628,98.532,97.250,99.447,96.957,96.957,97.042,96.374,96.180,95.822,102.386,103.917,105.938,109.101,110.627,114.562,121.442,132.099,131.151,131.303,129.696,138.046,,,
34,96.077,93.135,90.125,95.750,94.556,96.676,94.273,94.273,94.343,93.738,93.532,93.173,99.472,100.941,102.863,105.913,107.455,111.356,117.913,127.890,126.977,127.133,125.643,133.551,,,
35,93.373,90.508,87.659,93.011,91.903,93.947,91.628,91.628,91.684,91.140,90.922,90.563,96.603,98.012,99.836,102.777,104.333,108.198,114.439,123.755,122.877,123.038,121.661,129.138,,,
36,90.709,87.922,85.228,90.314,89.289,91.260,89.023,89.023,89.067,88.581,88.353,87.994,93.780,95.130,96.859,99.693,101.261,105.089,111.020,119.695,118.851,119.015,117.748,124.805,,,
37,88.086,85.376,82.834,87.660,86.716,88.614,86.458,86.458,86.490,86.060,85.822,85.464,91.002,92.295,93.932,96.661,98.239,102.029,107.657,115.709,114.898,115.066,113.906,120.555,,,
38,85.505,82.870,80.475,85.049,84.183,86.010,83.933,83.933,83.954,83.579,83.331,82.974,88.269,89.506,91.053,93.680,95.266,99.017,104.350,111.797,111.020,111.191,110.133,116.385,,,
39,82.963,80.404,78.153,82.481,81.691,83.447,81.449,81.449,81.458,81.136,80.878,80.524,85.582,86.765,88.224,90.750,92.344,96.053,101.098,107.960,107.215,107.388,106.431,112.297,,,
40,80.463,77.979,75.867,79.956,79.238,80.926,79.004,79.004,79.003,78.732,78.466,78.114,82.940,84.070,85.445,87.873,89.471,93.138,97.901,104.198,103.483,103.659,102.798,108.290,,,
41,78.004,75.593,73.616,77.473,76.826,78.446,76.599,76.599,76.589,76.367,76.092,75.744,80.343,81.422,82.714,85.046,86.648,90.271,94.761,100.510,99.826,100.004,99.236,104.365,,,
42,75.585,73.248,71.402,75.033,74.454,76.007,74.234,74.234,74.216,74.041,73.758,73.413,77.791,78.821,80.033,82.272,83.875,87.453,91.676,96.896,96.242,96.422,95.743,100.521,,,
43,73.207,70.943,69.224,72.636,72.122,73.611,71.909,71.909,71.883,71.753,71.462,71.123,75.285,76.267,77.401,79.549,81.152,84.683,88.646,93.357,92.732,92.913,92.320,96.758,,,
44,70.870,68.678,67.081,70.281,69.830,71.255,69.624,69.624,69.591,69.505,69.207,68.872,72.824,73.760,74.818,76.878,78.479,81.962,85.672,89.892,89.295,89.478,88.968,93.076,,,
45,68.574,66.453,64.975,67.969,67.578,68.942,67.379,67.379,67.339,67.295,66.990,66.662,70.409,71.300,72.285,74.258,75.855,79.289,82.754,86.502,85.933,86.116,85.685,89.476,,,
46,66.319,64.268,62.905,65.700,65.367,66.669,65.174,65.174,65.128,65.124,64.813,64.491,68.039,68.887,69.801,71.690,73.282,76.665,79.891,83.186,82.644,82.827,82.472,85.957,,,
47,64.104,62.124,60.870,63.474,63.195,64.439,63.009,63.009,62.958,62.991,62.674,62.360,65.714,66.520,67.367,69.173,70.758,74.089,77.084,79.944,79.428,79.612,79.330,82.520,,,
48,61.930,60.019,58.872,61.290,61.064,62.250,60.883,60.883,60.829,60.898,60.576,60.269,63.434,64.200,64.981,66.708,68.284,71.562,74.332,76.777,76.287,76.470,76.257,79.164,,,
49,59.797,57.955,56.910,59.149,58.973,60.102,58.798,58.798,58.740,58.843,58.516,58.218,61.200,61.927,62.645,64.295,65.861,69.083,71.636,73.685,73.219,73.401,73.254,75.889,,,
50,57.705,55.931,54.984,57.051,56.923,57.996,56.753,56.753,56.692,56.827,56.495,56.207,59.011,59.702,60.358,61.933,63.487,66.652,68.996,70.667,70.225,70.406,70.321,72.695,,,
51,55.654,53.947,53.093,54.996,54.912,55.931,54.748,54.748,54.684,54.850,54.514,54.235,56.868,57.522,58.121,59.623,61.163,64.270,66.411,67.723,67.305,67.484,67.459,69.583,,,
52,53.643,52.003,51.239,52.983,52.942,53.908,52.782,52.782,52.718,52.911,52.572,52.304,54.770,55.390,55.933,57.364,58.888,61.937,63.882,64.854,64.458,64.636,64.666,66.553,,,
53,51.674,50.099,49.421,51.013,51.012,51.926,50.857,50.857,50.792,51.012,50.670,50.412,52.717,53.305,53.794,55.157,56.664,59.651,61.408,62.059,61.685,61.861,61.943,63.603,,,
54,49.745,48.236,47.639,49.086,49.122,49.986,48.972,48.972,48.906,49.151,48.806,48.561,50.709,51.266,51.704,53.001,54.489,57.415,58.990,59.339,58.986,59.159,59.290,60.735,,,
55,47.857,46.412,45.893,47.202,47.272,48.088,47.126,47.126,47.061,47.329,46.982,46.749,48.747,49.275,49.664,50.898,52.365,55.227,56.627,56.693,56.360,56.531,56.707,57.948,,,
56,46.010,44.629,44.182,45.360,45.462,46.231,45.321,45.321,45.257,45.545,45.197,44.977,46.830,47.330,47.673,48.845,50.290,53.087,54.320,54.122,53.809,53.976,54.194,55.243,,,
57,44.203,42.886,42.508,43.561,43.693,44.415,43.555,43.555,43.494,43.801,43.452,43.245,44.959,45.432,45.731,46.845,48.265,50.996,52.069,51.625,51.331,51.495,51.751,52.619,,,
58,42.438,41.183,40.870,41.805,41.963,42.641,41.830,41.830,41.771,42.095,41.745,41.553,43.132,43.581,43.839,44.896,46.290,48.953,49.873,49.202,48.926,49.087,49.379,50.076,,,
59,40.713,39.520,39.268,40.091,40.274,40.909,40.144,40.144,40.089,40.428,40.078,39.901,41.352,41.777,41.996,42.998,44.365,46.959,47.733,46.854,46.596,46.752,47.076,47.614,,,
60,39.029,37.897,37.702,38.421,38.625,39.218,38.499,38.499,38.448,38.800,38.450,38.288,39.616,40.020,40.202,41.152,42.490,45.013,45.649,44.580,44.339,44.491,44.843,45.234,,,
61,37.386,36.315,36.172,36.793,37.017,37.569,36.893,36.893,36.847,37.211,36.861,36.716,37.926,38.309,38.458,39.358,40.664,43.115,43.620,42.381,42.156,42.303,42.680,42.936,,,
62,35.784,34.772,34.678,35.207,35.448,35.961,35.327,35.327,35.287,35.660,35.312,35.183,36.281,36.646,36.763,37.615,38.889,41.266,41.646,40.256,40.046,40.188,40.587,40.718,,,
63,34.222,33.270,33.220,33.665,33.920,34.394,33.802,33.802,33.768,34.149,33.802,33.690,34.681,35.029,35.117,35.924,37.163,39.466,39.728,38.206,38.011,38.147,38.564,38.582,,,
64,32.702,31.808,31.798,32.165,32.432,32.869,32.316,32.316,32.289,32.676,32.331,32.238,33.127,33.459,33.520,34.285,35.488,37.714,37.866,36.230,36.049,36.179,36.611,36.527,,,
65,31.222,30.386,30.412,30.708,30.984,31.386,30.870,30.870,30.852,31.242,30.899,30.825,31.618,31.936,31.973,32.697,33.862,36.010,36.059,34.329,34.160,34.285,34.728,34.554,,,
66,29.783,29.004,29.062,29.294,29.576,29.944,29.465,29.465,29.454,29.846,29.507,29.452,30.154,30.460,30.475,31.161,32.286,34.355,34.308,32.502,32.346,32.463,32.915,32.662,,,
67,28.385,27.663,27.748,27.922,28.208,28.544,28.099,28.099,28.098,28.490,28.153,28.118,28.736,29.031,29.026,29.676,30.760,32.749,32.613,30.749,30.605,30.716,31.172,30.851,,,
68,27.027,26.361,26.470,26.593,26.881,27.185,26.773,26.773,26.782,27.172,26.839,26.825,27.363,27.649,27.627,28.243,29.283,31.191,30.973,29.071,28.938,29.041,29.499,29.122,,,
69,25.711,25.100,25.228,25.307,25.593,25.868,25.487,25.487,25.507,25.893,25.565,25.572,26.035,26.313,26.277,26.862,27.857,29.681,29.388,27.467,27.345,27.440,27.895,27.474,,,
70,24.435,23.879,24.022,24.064,24.346,24.592,24.241,24.241,24.272,24.653,24.329,24.358,24.753,25.025,24.976,25.532,26.481,28.220,27.860,25.938,25.825,25.913,26.362,25.907,,,
71,23.200,22.698,22.853,22.863,23.140,23.358,23.035,23.035,23.078,23.452,23.133,23.185,23.516,23.783,23.725,24.253,25.154,26.807,26.386,24.483,24.379,24.459,24.899,24.421,,,
72,22.006,21.557,21.719,21.705,21.973,22.165,21.869,21.869,21.925,22.289,21.976,22.051,22.324,22.588,22.522,23.027,23.877,25.443,24.969,23.103,23.007,23.078,23.506,23.017,,,
73,20.853,20.456,20.621,20.590,20.846,21.014,20.743,20.743,20.812,21.165,20.858,20.957,21.178,21.440,21.370,21.852,22.650,24.127,23.607,21.797,21.708,21.770,22.183,21.695,,,
74,19.740,19.395,19.559,19.518,19.760,19.905,19.657,19.657,19.740,20.080,19.780,19.903,20.077,20.339,20.266,20.728,21.473,22.859,22.300,20.566,20.484,20.536,20.930,20.453,,,
75,18.669,18.375,18.533,18.488,18.714,18.837,18.611,18.611,18.709,19.034,18.741,18.889,19.021,19.285,19.212,19.656,20.346,21.641,21.049,19.409,19.333,19.376,19.746,19.293,,,
76,17.638,17.395,17.543,17.501,17.708,17.810,17.605,17.605,17.719,18.026,17.741,17.915,18.011,18.277,18.207,18.636,19.269,20.470,19.854,18.326,18.255,18.288,18.633,18.214,,,
77,16.648,16.454,16.590,16.557,16.742,16.825,16.639,16.639,16.769,17.058,16.780,16.980,17.046,17.317,17.251,17.667,18.242,19.348,18.714,17.318,17.252,17.274,17.590,17.217,,,
78,15.699,15.554,15.672,15.656,15.816,15.881,15.713,15.713,15.860,16.128,15.858,16.086,16.126,16.403,16.345,16.750,17.264,18.275,17.630,16.384,16.322,16.334,16.617,16.301,,,
79,14.790,14.695,14.790,14.797,14.931,14.979,14.826,14.826,14.991,15.237,14.976,15.231,15.252,15.536,15.488,15.884,16.336,17.250,16.602,15.525,15.466,15.467,15.713,15.466,,,
80,13.923,13.875,13.944,13.981,14.086,14.119,13.980,13.980,14.164,14.385,14.133,14.417,14.423,14.716,14.680,15.071,15.459,16.273,15.629,14.740,14.683,14.673,14.880,14.713,,,
81,13.096,13.095,13.135,13.208,13.281,13.300,13.174,13.174,13.376,13.571,13.329,13.642,13.639,13.943,13.921,14.308,14.631,15.345,14.711,14.030,13.975,13.952,14.117,14.041,,,
82,12.310,12.356,12.361,12.477,12.516,12.522,12.407,12.407,12.630,12.796,12.565,12.907,12.901,13.217,13.212,13.597,13.853,14.465,13.850,13.394,13.340,13.305,13.423,13.450,,,
83,11.565,11.656,11.623,11.789,11.791,11.786,11.681,11.681,11.924,12.061,11.840,12.212,12.207,12.538,12.552,12.938,13.125,13.634,13.043,12.832,12.778,12.732,12.800,12.941,,,
84,10.861,10.997,10.922,11.144,11.106,11.092,10.995,10.995,11.259,11.363,11.154,11.557,11.560,11.905,11.942,12.331,12.446,12.851,12.293,12.345,12.291,12.231,12.247,12.513,,,
85,10.197,10.378,10.256,10.542,10.462,10.439,10.348,10.348,10.635,10.705,10.507,10.942,10.957,11.320,11.381,11.775,11.818,12.117,11.598,11.933,11.877,11.804,11.763,12.166,,,
86,9.575,9.800,9.626,9.983,9.858,9.828,9.742,9.742,10.051,10.086,9.899,10.366,10.400,10.781,10.869,11.270,11.240,11.431,10.958,11.595,11.537,11.451,11.350,11.900,,,
87,8.993,9.261,9.033,9.466,9.294,9.258,9.175,9.175,9.508,9.505,9.331,9.831,9.888,10.289,10.406,10.818,10.711,10.794,10.374,11.331,11.270,11.171,11.006,11.716,,,
88,8.452,8.762,8.475,8.992,8.770,8.729,8.649,8.649,9.006,8.963,8.802,9.335,9.422,9.844,9.993,10.417,10.232,10.205,9.846,11.142,11.078,10.964,10.733,11.614,,,
89,7.952,8.304,7.954,8.560,8.286,8.243,8.162,8.162,8.544,8.460,8.312,8.879,9.001,9.446,9.629,10.067,9.803,9.665,9.373,11.027,10.959,10.830,10.530,11.592,,,
90,7.492,7.886,7.468,8.172,7.843,7.797,7.716,7.716,8.123,7.995,7.862,8.464,8.625,9.095,9.314,9.769,9.424,9.173,8.956,10.987,10.914,10.770,10.396,11.652,,,
91,7.074,7.507,7.019,7.826,7.440,7.394,7.309,7.309,7.742,7.570,7.450,8.088,8.294,8.791,9.048,9.523,9.095,8.729,8.595,11.021,10.942,10.784,10.333,11.794,,,
92,6.696,7.170,6.605,7.523,7.077,7.031,6.942,6.942,7.403,7.183,7.078,7.752,8.009,8.533,8.832,9.328,8.816,8.335,8.289,11.129,11.044,10.870,10.339,12.016,,,
93,6.359,6.872,6.228,7.262,6.754,6.711,6.616,6.616,7.104,6.835,6.746,7.456,7.769,8.322,8.665,9.185,8.586,7.988,8.038,11.312,11.220,11.030,10.415,12.320,,,
94,6.063,6.614,5.886,7.045,6.471,6.431,6.329,6.329,6.845,6.526,6.452,7.199,7.575,8.159,8.548,9.093,8.407,7.690,7.844,11.570,11.470,11.264,10.562,12.706,,,
95,5.808,6.396,5.581,6.870,6.229,6.194,6.082,6.082,6.628,6.256,6.198,6.983,7.426,8.042,8.480,9.053,8.277,7.440,7.704,11.902,11.793,11.571,10.778,13.172,,,
96,5.593,6.219,5.311,6.738,6.026,5.997,5.875,5.875,6.451,6.024,5.983,6.806,7.322,7.972,8.461,9.065,8.198,7.239,7.621,12.308,12.191,11.951,11.065,13.720,,,
97,5.420,6.082,5.078,6.648,5.864,5.843,5.708,5.708,6.315,5.831,5.807,6.670,7.263,7.948,8.491,9.128,8.168,7.087,7.593,12.789,12.661,12.404,11.421,14.350,,,
98,5.287,5.985,4.880,6.602,5.742,5.730,5.582,5.582,6.219,5.677,5.670,6.573,7.250,7.972,8.571,9.243,8.188,6.982,7.620,13.344,13.206,12.931,11.847,15.060,,,
99,5.195,5.928,4.719,6.598,5.660,5.658,5.495,5.495,6.164,5.562,5.573,6.516,7.282,8.043,8.700,9.409,8.258,6.927,7.703,13.973,13.824,13.532,12.344,15.852,,,
100,5.144,5.911,4.593,6.637,5.619,5.628,5.448,5.448,6.150,5.485,5.515,6.499,7.360,8.160,8.878,9.627,8.377,6.919,7.842,14.677,14.516,14.205,12.910,16.726,,,
101,5.133,5.934,4.504,6.718,5.617,5.639,5.441,5.441,6.176,5.448,5.496,6.522,7.483,8.324,9.105,9.897,8.547,6.960,8.036,15.456,15.282,14.952,13.546,17.680,,,
102,5.164,5.998,4.451,6.842,5.656,5.692,5.474,5.474,6.243,5.449,5.516,6.585,7.651,8.536,9.382,10.218,8.766,7.050,8.286,16.309,16.121,15.773,14.253,18.716,,,
103,5.235,6.102,4.433,7.009,5.735,5.787,5.547,5.547,6.351,5.489,5.576,6.688,7.864,8.794,9.708,10.591,9.036,7.188,8.592,17.236,17.035,16.667,15.029,19.834,,,
104,5.347,6.245,4.452,7.219,5.854,5.923,5.660,5.660,6.499,5.567,5.675,6.830,8.123,9.099,10.084,11.015,9.355,7.375,8.953,18.238,18.022,17.634,15.875,21.032,,,
105,5.500,6.429,4.507,7.472,6.013,6.100,5.812,5.812,6.689,5.685,5.813,7.013,8.427,9.450,10.509,11.491,9.724,7.610,9.369,19.315,19.082,18.675,16.792,22.312,,,
106,5.694,6.653,4.598,7.767,6.213,6.319,6.005,6.005,6.918,5.841,5.991,7.235,8.776,9.849,10.983,12.018,10.143,7.893,9.841,20.465,20.216,19.789,17.778,23.674,,,
107,5.929,6.918,4.724,8.105,6.452,6.580,6.238,6.238,7.189,6.036,6.207,7.497,9.171,10.294,11.506,12.598,10.612,8.225,10.369,21.690,21.425,20.976,18.834,25.116,,,
108,6.204,7.222,4.887,8.486,6.732,6.882,6.511,6.511,7.500,6.270,6.463,7.799,9.611,10.787,12.079,13.228,11.131,8.606,10.953,22.990,22.706,22.237,19.960,26.640,,,
109,6.520,7.567,5.086,8.909,7.052,7.226,6.824,6.824,7.852,6.543,6.758,8.141,10.097,11.326,12.701,13.911,11.699,9.035,11.591,24.364,24.062,23.571,21.156,28.246,,,
110,6.877,7.951,5.321,9.375,7.413,7.611,7.176,7.176,8.244,6.854,7.093,8.523,10.627,11.912,13.372,14.645,12.318,9.512,12.286,25.813,25.491,24.978,22.423,29.932,,,
111,7.275,8.376,5.591,9.884,7.813,8.037,7.569,7.569,8.678,7.205,7.466,8.945,11.203,12.545,14.092,15.430,12.986,10.038,13.036,27.336,26.994,26.459,23.759,31.700,,,
112,7.714,8.841,5.898,10.436,8.253,8.505,8.002,8.002,9.151,7.594,7.879,9.407,11.825,13.225,14.862,16.267,13.704,10.612,13.842,28.933,28.571,28.013,25.165,33.550,,,
113,8.193,9.346,6.241,11.030,8.734,9.015,8.474,8.474,9.666,8.022,8.331,9.908,12.491,13.952,15.681,17.156,14.472,11.235,14.703,30.605,30.221,29.641,26.641,35.480,,,
114,8.714,9.891,6.620,11.667,9.255,9.566,8.987,8.987,10.221,8.488,8.823,10.450,13.203,14.725,16.550,18.096,15.290,11.906,15.620,32.351,31.945,31.342,28.187,37.492,,,
115,9.275,10.477,7.035,12.347,9.816,10.159,9.539,9.539,10.817,8.994,9.354,11.031,13.961,15.546,17.468,19.088,16.158,12.626,16.592,34.172,33.743,33.116,29.803,39.586,,,
116,9.877,11.102,7.486,13.070,10.418,10.793,10.132,10.132,11.454,9.538,9.923,11.652,14.763,16.413,18.435,20.132,17.076,13.394,17.620,36.067,35.615,34.964,31.489,41.760,,,
117,10.519,11.768,7.973,13.835,11.059,11.469,10.764,10.764,12.131,10.121,10.533,12.313,15.611,17.327,19.451,21.227,18.044,14.211,18.704,38.037,37.560,36.885,33.245,44.016,,,
118,11.203,12.474,8.495,14.643,11.741,12.186,11.437,11.437,12.849,10.743,11.181,13.014,16.505,18.288,20.517,22.374,19.061,15.076,19.843,40.081,39.579,38.880,35.071,46.354,,,
119,11.927,13.220,9.054,15.494,12.463,12.945,12.149,12.149,13.607,11.403,11.869,13.755,17.443,19.296,21.632,23.572,20.129,15.989,21.038,42.199,41.672,40.947,36.967,48.773,,,
120,12.693,14.006,9.649,16.388,13.225,13.745,12.902,12.902,14.407,12.102,12.595,14.536,18.427,20.351,22.796,24.822,21.246,16.951,22.288,44.392,43.838,43.089,38.933,51.273,,,

